date,open,high,low,close,volume
2018-01-02,222.61,226.19,220.36,224.62,979676.0
2018-01-03,226.06,231.48,225.01,231.2,924662.0
2018-01-04,234.9,235.66,230.25,233.3,1363030.0
2018-01-05,234.88,243.3,234.22,241.07,1569541.0
2018-01-08,242.0,250.99,241.04,248.9,2066956.0
2018-01-09,250.0,253.64,250.0,251.44,1212424.0
2018-01-10,249.15,250.89,243.28,248.31,874823.0
2018-01-11,248.0,253.2,246.01,252.91,722535.0
2018-01-12,254.1,259.95,250.01,258.43,893102.0
2018-01-16,262.12,268.18,260.56,263.88,1198294.0
2018-01-17,265.16,273.6,264.25,272.25,1174837.0
2018-01-18,272.25,272.69,266.51,270.7,1088463.0
2018-01-19,268.1,269.75,263.2,269.46,1231386.0
2018-01-22,269.64,271.73,258.92,267.1,1147212.0
2018-01-23,267.0,276.99,266.88,272.16,973433.0
2018-01-24,273.52,274.39,267.6,272.28,798882.0
2018-01-25,273.7,276.23,270.0,273.56,566317.0
2018-01-26,275.16,287.32,273.27,283.97,1132636.0
2018-01-29,284.45,284.97,268.16,276.77,1585169.0
2018-01-30,270.45,272.0,245.0,270.08,2451336.0
2018-01-31,261.01,270.6,248.21,262.0,4011385.0
2018-02-01,261.59,262.65,252.2,255.57,1735592.0
2018-02-02,251.57,262.57,250.86,257.38,1622810.0
2018-02-05,252.21,259.14,241.66,242.4,1878132.0
2018-02-06,232.71,245.65,228.0,241.45,2283401.0
2018-02-07,241.0,242.22,233.6,234.33,1160687.0
2018-02-08,233.57,233.96,220.7,220.71,1918329.0
2018-02-09,223.75,232.41,219.11,229.37,1549902.0
2018-02-12,233.25,235.0,225.91,233.13,1206753.0
2018-02-13,230.76,236.7,229.68,233.73,727366.0
2018-02-14,231.98,246.9,231.35,246.34,1214386.0
2018-02-15,250.0,253.71,245.39,252.77,1410724.0
2018-02-16,253.85,255.39,249.04,251.5,1056711.0
2018-02-20,250.57,259.75,250.5,255.45,1138852.0
2018-02-21,255.36,262.82,252.0,252.14,1086042.0
2018-02-22,254.16,262.33,253.26,259.68,1084831.0
2018-02-23,261.99,266.8,258.14,265.07,939952.0
2018-02-26,266.8,268.4,262.42,266.58,722125.0
2018-02-27,265.48,267.27,263.5,263.87,635605.0
2018-02-28,264.9,267.78,262.44,262.52,657310.0
2018-03-01,255.0,259.84,244.15,245.55,1833437.0
2018-03-02,243.65,254.89,241.3,253.71,1016135.0
2018-03-05,252.84,256.64,247.64,255.49,818321.0
2018-03-06,256.01,257.39,252.16,255.97,741077.0
2018-03-07,252.46,263.92,252.13,262.9,679264.0
2018-03-08,264.92,268.69,263.57,268.18,630034.0
2018-03-09,270.0,273.22,269.99,271.74,854946.0
2018-03-12,272.07,277.32,271.13,275.61,827123.0
2018-03-13,276.56,276.98,267.29,269.71,854297.0
2018-03-14,271.29,274.07,269.27,272.48,612009.0
2018-03-15,272.23,276.14,269.76,272.87,719162.0
2018-03-16,273.76,274.15,267.57,270.41,810140.0
2018-03-19,268.65,274.4,262.13,265.39,868000.0
2018-03-20,266.92,270.67,264.77,270.4,542791.0
2018-03-21,270.67,271.99,267.2,270.14,578267.0
2018-03-22,266.55,269.8,260.0,260.13,714085.0
2018-03-23,260.13,265.84,250.28,250.92,996912.0
2018-03-26,254.0,261.87,250.15,261.52,893474.0
2018-03-27,263.98,264.74,245.82,248.3,1041694.0
2018-03-28,248.52,248.9,241.03,244.42,1175005.0
2018-03-29,245.98,257.47,243.08,251.13,1259386.0
2018-04-02,251.0,254.8,238.17,242.69,923461.0
2018-04-03,244.01,248.09,240.08,243.62,847526.0
2018-04-04,239.72,250.02,238.5,248.93,752945.0
2018-04-05,251.32,259.73,251.32,255.35,1096548.0
2018-04-06,252.4,255.72,243.2,245.23,909745.0
2018-04-09,248.37,255.26,247.62,249.06,578875.0
2018-04-10,254.17,259.96,252.34,258.27,942501.0
2018-04-11,255.58,260.46,254.53,257.02,490842.0
2018-04-12,259.62,264.88,258.47,263.76,579685.0
2018-04-13,266.22,267.21,259.5,261.72,594139.0
2018-04-16,264.77,268.32,263.02,265.5,533568.0
2018-04-17,269.17,274.52,267.78,272.65,958148.0
2018-04-18,274.0,280.23,270.57,277.05,885870.0
2018-04-19,265.82,267.02,250.27,252.78,2458586.0
2018-04-20,253.38,256.66,245.41,247.07,1323286.0
2018-04-23,248.63,251.37,245.01,247.2,846489.0
2018-04-24,248.62,251.47,235.83,239.66,1267377.0
2018-04-25,238.47,245.78,234.4,245.63,1298132.0
2018-04-26,261.99,266.1,242.71,259.89,2927841.0
2018-04-27,259.99,260.84,251.48,257.9,981712.0
2018-04-30,258.63,258.63,249.58,249.85,1103485.0
2018-05-01,249.21,252.69,247.51,251.34,570351.0
2018-05-02,250.4,252.93,249.17,249.47,746038.0
2018-05-03,249.0,255.41,244.4,255.14,964708.0
2018-05-04,251.99,260.26,246.38,258.97,1020927.0
2018-05-07,259.25,267.04,259.23,265.03,1186251.0
2018-05-08,263.54,266.08,260.23,265.46,820822.0
2018-05-09,265.49,270.6,265.49,268.0,747026.0
2018-05-10,268.01,280.25,267.13,277.73,1202471.0
2018-05-11,278.29,288.36,277.99,286.49,1471608.0
2018-05-14,286.99,296.47,284.75,286.42,1231448.0
2018-05-15,283.53,284.26,276.81,283.77,868337.0
2018-05-16,283.5,292.82,281.61,287.96,881111.0
2018-05-17,289.52,294.91,287.73,292.72,927859.0
2018-05-18,293.49,299.46,292.76,298.0,900783.0
2018-05-21,300.0,304.99,299.47,302.46,853905.0
2018-05-22,305.96,306.11,294.0,297.86,856189.0
2018-05-23,297.86,308.67,297.17,308.2,1243445.0
2018-05-24,310.13,318.59,308.01,317.04,1354331.0
2018-05-25,318.08,322.67,316.38,318.54,1268089.0
2018-05-29,318.19,326.82,317.86,326.18,1027815.0
2018-05-30,327.92,333.34,327.23,331.45,903312.0
2018-05-31,331.7,338.5,330.21,331.95,1421679.0
2018-06-01,333.17,335.35,325.28,333.09,1081700.0
2018-06-04,335.54,343.88,333.22,343.2,794570.0
2018-06-05,343.21,346.55,341.54,346.08,925154.0
2018-06-06,347.25,347.97,342.83,346.37,768034.0
2018-06-07,346.86,347.85,333.3,339.32,1225350.0
2018-06-08,337.03,347.44,333.0,346.67,774356.0
2018-06-11,345.28,349.79,343.72,348.44,634959.0
2018-06-12,349.6,355.98,349.29,354.25,861886.0
2018-06-13,356.0,365.76,354.59,363.49,1231819.0
2018-06-14,364.35,370.47,363.7,366.27,872402.0
2018-06-15,364.81,366.89,358.27,362.66,1143538.0
2018-06-18,361.01,371.55,357.11,370.1,874673.0
2018-06-19,366.2,369.08,358.67,365.24,847541.0
2018-06-20,368.01,369.2,362.69,364.7,794169.0
2018-06-21,365.66,369.0,359.15,359.6,1019538.0
2018-06-22,361.57,363.96,347.15,353.27,1296514.0
2018-06-25,350.0,350.47,341.28,346.3,1174116.0
2018-06-26,349.27,357.69,348.3,352.42,940213.0
2018-06-27,352.42,356.47,342.26,342.78,1009813.0
2018-06-28,340.57,345.9,334.44,343.8,1262311.0
2018-06-29,345.71,346.13,341.7,342.14,937609.0
2018-07-02,334.9,341.05,332.01,340.28,1047083.0
2018-07-03,341.1,344.52,337.11,338.68,475380.0
2018-07-05,342.18,343.23,333.57,341.38,737493.0
2018-07-06,341.39,349.7,338.8,347.47,642018.0
2018-07-09,350.58,354.12,345.44,348.97,784886.0
2018-07-10,350.0,352.83,347.25,351.45,594782.0
2018-07-11,346.98,352.4,345.5,348.87,433562.0
2018-07-12,350.31,363.04,350.31,362.82,810244.0
2018-07-13,364.0,368.97,361.29,363.45,733989.0
2018-07-16,365.0,366.32,358.02,362.28,400601.0
2018-07-17,359.59,371.05,357.46,370.53,559026.0
2018-07-18,373.86,375.33,367.81,372.31,452245.0
2018-07-19,369.88,373.49,365.0,370.32,560167.0
2018-07-20,371.06,378.98,369.58,375.38,755848.0
2018-07-23,375.5,385.0,368.74,377.5,722140.0
2018-07-24,378.96,384.75,369.76,372.59,937746.0
2018-07-25,374.69,383.46,373.0,381.77,975644.0
2018-07-26,377.61,380.0,354.74,363.02,1834827.0
2018-07-27,364.51,365.55,349.13,353.77,838036.0
2018-07-30,353.5,356.03,341.24,348.58,1263004.0
2018-07-31,348.88,358.56,341.91,356.65,1286615.0
2018-08-01,356.65,361.29,352.6,353.7,871164.0
2018-08-02,351.0,369.02,350.51,367.92,803913.0
2018-08-03,368.52,369.49,356.13,363.51,713031.0
2018-08-06,362.11,370.45,362.11,369.55,526859.0
2018-08-07,369.55,373.66,365.0,365.58,615862.0
2018-08-08,366.13,367.35,363.31,366.21,462399.0
2018-08-09,366.81,371.61,363.5,366.87,529821.0
2018-08-10,363.71,369.67,362.48,364.53,389963.0
2018-08-13,364.48,369.04,361.54,362.28,364693.0
2018-08-14,361.28,368.8,361.28,368.66,559645.0
2018-08-15,366.73,368.49,349.8,350.45,1074672.0
2018-08-16,353.0,355.0,344.35,351.2,950524.0
2018-08-17,350.11,358.71,342.3,357.3,998201.0
2018-08-20,358.0,358.92,351.88,352.28,528983.0
2018-08-21,353.01,357.4,351.52,355.89,518161.0
2018-08-22,354.02,362.2,352.39,361.36,573544.0
2018-08-23,361.0,366.72,360.93,363.59,570738.0
2018-08-24,365.09,370.56,363.27,367.6,614358.0
2018-08-27,370.0,383.7,369.12,381.87,941485.0
2018-08-28,382.56,390.19,378.16,382.25,920438.0
2018-08-29,384.4,391.25,382.26,385.43,709431.0
2018-08-30,383.08,391.37,383.0,387.05,502353.0
2018-08-31,388.43,392.69,384.73,386.49,541853.0
2018-09-04,386.64,388.9,381.11,385.33,526022.0
2018-09-05,384.92,384.92,366.08,372.91,1028173.0
2018-09-06,373.55,376.61,367.09,370.82,671295.0
2018-09-07,368.76,374.52,365.2,368.64,515392.0
2018-09-10,370.89,376.49,367.41,374.78,550915.0
2018-09-11,373.36,382.98,371.0,382.8,603520.0
2018-09-12,382.9,385.24,374.24,381.83,527416.0
2018-09-13,383.87,388.79,377.55,379.64,553119.0
2018-09-14,383.31,391.6,381.99,390.16,746439.0
2018-09-17,390.54,393.98,377.56,378.37,754417.0
2018-09-18,378.38,386.89,378.38,385.96,475078.0
2018-09-19,386.4,388.67,377.14,379.94,552188.0
2018-09-20,381.19,385.48,375.93,379.84,626810.0
2018-09-21,381.84,384.24,378.43,380.84,786072.0
2018-09-24,379.0,391.92,377.31,388.96,475443.0
2018-09-25,390.0,398.88,389.08,392.98,613274.0
2018-09-26,392.73,395.16,386.04,389.23,591515.0
2018-09-27,391.0,395.16,387.68,389.97,447351.0
2018-09-28,389.85,395.23,387.96,391.22,495703.0
2018-10-01,393.36,397.85,390.0,391.52,615828.0
2018-10-02,390.52,390.52,374.56,376.17,892528.0
2018-10-03,379.94,381.0,372.47,375.26,879812.0
2018-10-04,373.57,375.14,355.38,357.89,1277306.0
2018-10-05,356.2,364.79,345.24,353.11,1301604.0
2018-10-08,350.12,352.95,333.08,342.87,1379012.0
2018-10-09,341.59,346.77,336.02,340.97,1025562.0
2018-10-10,336.28,336.62,315.33,316.03,1670238.0
2018-10-11,312.3,325.37,309.18,312.86,1588770.0
2018-10-12,326.13,329.18,317.12,327.5,1478697.0
2018-10-15,326.53,327.48,316.42,317.43,1120135.0
2018-10-16,321.25,335.34,320.65,334.94,1123688.0
2018-10-17,338.81,339.95,329.01,332.83,706866.0
2018-10-18,331.85,333.22,317.52,323.06,834876.0
2018-10-19,326.29,327.71,310.45,312.79,1335211.0
2018-10-22,313.7,318.01,306.01,314.22,1272413.0
2018-10-23,305.9,313.3,295.78,311.69,1263250.0
2018-10-24,311.08,315.98,290.21,290.83,2090032.0
2018-10-25,231.23,235.5,203.12,232.07,8520250.0
2018-10-26,228.0,237.59,218.01,230.13,4629507.0
2018-10-29,234.76,235.49,212.02,217.94,2542523.0
2018-10-30,216.8,225.62,215.0,223.01,1850492.0
2018-10-31,226.49,229.76,220.26,221.2,1603717.0
2018-11-01,222.27,231.38,220.54,230.95,1557949.0
2018-11-02,233.53,239.48,227.02,229.75,2215568.0
2018-11-05,227.77,229.64,221.54,228.12,1315135.0
2018-11-06,227.5,231.23,225.43,229.37,954935.0
2018-11-07,231.72,248.5,230.77,245.31,2228339.0
2018-11-08,245.54,246.8,240.95,245.67,1431240.0
2018-11-09,243.42,244.62,226.37,235.96,2023185.0
2018-11-12,231.97,232.99,214.62,217.29,1601248.0
2018-11-13,219.0,225.21,217.3,219.32,1400256.0
2018-11-14,221.9,225.19,217.35,219.99,1026220.0
2018-11-15,219.52,223.45,216.01,222.77,958471.0
2018-11-16,220.76,228.8,218.71,225.41,1061312.0
2018-11-19,223.85,223.95,203.7,204.43,1804439.0
2018-11-20,189.03,212.82,188.57,210.1,3432772.0
2018-11-21,213.94,219.75,212.24,215.72,1130609.0
2018-11-23,214.88,220.56,214.21,218.87,539272.0
2018-11-26,221.92,229.37,221.1,223.38,1076422.0
